BasicActivity,Category
Back quiz,Challenges
Nutrition programme Coach,Nutrition
Discover Helsana Coach,Getting started
Health apps quiz,Challenges
Weekly Class Bonus,Challenges
Session nutrition Coach,Nutrition
Chain of survival quiz,Challenges
Bonus for autumn challenges,Challenges
Bonus for January challenges,Challenges
Health insurance quiz,Challenges
Recommendation Helsana+ App,Challenges
Weekly Bonus,Coach Activities
Lavender quiz,Challenges
Relaxation quiz,Challenges
Link to health tracker app,Getting started
Mindfulness programme,Coach Activities
First aid quiz,Challenges
Summer challenges bonus,Challenges
Daily session,Coach Activities
Weekly Bonus Coach,Challenges
Trails App Run,Movement
Quiz: jogging for beginners,Challenges
Quiz Recharge on the Trails,Challenges
Quiz: What is an ideal weight?,Challenges
A balanced diet,Challenges
Jogging in winter quiz,Challenges
My activity,Movement
Bonus for Coach sessions,Challenges
Daily Session Movement Coach,Movement
Health Consultation quiz,Challenges
Connection to Fitnesstracker,Getting started
Health insurance companies quiz,Challenges
Daily Session mindfulness Coach,Mindfulness
Personal exercise,Movement
Quiz: depression,Challenges
Session mindfulness Coach,Mindfulness
Quiz: Exercise in your daily life,Challenges
Recommendation Helsana+ App,Loyalty and Helsana
Helsana Champions League,Challenges
Golf quiz,Challenges
Discover Trails App,Getting started
“Refer a friend” quiz,Challenges
Movement programme Coach,Movement
Mindfulness programme Coach,Mindfulness
Daily Session nutrition Coach,Nutrition
Quiz social engagement,Challenges
Nutrition programme,Coach Activities
Jogging challenge,Exclusively for you!
Vitamin quiz,Challenges
Turmeric quiz,Challenges
Exercise quiz,Challenges
Movement programme,Coach Activities
100'000 schritte Challenge für Spitzensportler :-),Movement
Helsana Trails app quiz,Challenges
Swimming challenges bonus,Challenges
Sun protection quiz,Challenges
Longstanding customers,Loyalty and Helsana
The elderberry quiz,Challenges
The Health Consultation quiz,Challenges
Travel first aid kit quiz,Challenges
"Earn points, step by step",Challenges
